INFO: cmd_ln.c(691): Parsing command line:
INFO: main.c(122): O-0: offset 270
INFO: main.c(122): O-1: offset 271
INFO: main.c(122): O-2: offset 272
INFO: main.c(122): OO-0: offset 273
INFO: main.c(122): OO-1: offset 274
INFO: main.c(122): OO-2: offset 275
INFO: main.c(122): P-0: offset 276
INFO: main.c(122): P-1: offset 278
INFO: main.c(122): P-2: offset 279
INFO: main.c(122): RA-0: offset 281
INFO: main.c(122): RA-1: offset 283
INFO: main.c(122): RA-2: offset 286
INFO: main.c(122): S-0: offset 289
INFO: main.c(122): S-1: offset 291
INFO: main.c(122): S-2: offset 292
INFO: main.c(122): SH-0: offset 294
INFO: main.c(122): SH-1: offset 295
INFO: main.c(122): SH-2: offset 296
INFO: main.c(122): SS-0: offset 297
INFO: main.c(122): SS-1: offset 298
INFO: main.c(122): SS-2: offset 299
INFO: main.c(122): T-0: offset 300
INFO: main.c(122): T-1: offset 303
INFO: main.c(122): T-2: offset 304
INFO: main.c(122): TT-0: offset 306
INFO: main.c(122): TT-1: offset 307
INFO: main.c(122): TT-2: offset 308
INFO: main.c(122): U-0: offset 309
INFO: main.c(122): U-1: offset 311
INFO: main.c(122): U-2: offset 312
INFO: main.c(122): UU-0: offset 313
INFO: main.c(122): UU-1: offset 315
INFO: main.c(122): UU-2: offset 317
INFO: main.c(122): V-0: offset 319
INFO: main.c(122): V-1: offset 321
INFO: main.c(122): V-2: offset 322
INFO: main.c(122): Y-0: offset 324
INFO: main.c(122): Y-1: offset 327
INFO: main.c(122): Y-2: offset 329
INFO: main.c(122): ZH-0: offset 331
INFO: main.c(122): ZH-1: offset 332
INFO: main.c(122): ZH-2: offset 334
INFO: main.c(144): n_seno= 335
!!!!!!!!Allocated 66 lines
Sat Mar 30 00:24:06 2013
